,지역,연도,성비
0,11,2006,102
1,11,2007,102
2,11,2008,102
3,11,2009,102
4,11,2010,101
5,11,2011,101
6,11,2012,101
7,11,2013,101
8,11,2014,101
9,11,2015,100
10,11,2016,100
11,11,2017,100
12,21,2006,104
13,21,2007,104
14,21,2008,105
15,21,2009,105
16,21,2010,106
17,21,2011,106
18,21,2012,106
19,21,2013,107
20,21,2014,107
21,21,2015,108
22,21,2016,108
23,21,2017,108
24,22,2006,102
25,22,2007,103
26,22,2008,103
27,22,2009,104
28,22,2010,105
29,22,2011,106
30,22,2012,107
31,22,2013,108
32,22,2014,109
33,22,2015,110
34,22,2016,111
35,22,2017,111
36,23,2006,103
37,23,2007,104
38,23,2008,105
39,23,2009,105
40,23,2010,105
41,23,2011,106
42,23,2012,106
43,23,2013,106
44,23,2014,106
45,23,2015,107
46,23,2016,107
47,23,2017,107
48,24,2006,101
49,24,2007,101
50,24,2008,101
51,24,2009,101
52,24,2010,101
53,24,2011,102
54,24,2012,102
55,24,2013,103
56,24,2014,104
57,24,2015,104
58,24,2016,105
59,24,2017,105
60,25,2006,102
61,25,2007,102
62,25,2008,102
63,25,2009,103
64,25,2010,103
65,25,2011,104
66,25,2012,104
67,25,2013,105
68,25,2014,105
69,25,2015,106
70,25,2016,107
71,25,2017,108
72,26,2006,103
73,26,2007,104
74,26,2008,106
75,26,2009,108
76,26,2010,108
77,26,2011,110
78,26,2012,112
79,26,2013,114
80,26,2014,115
81,26,2015,117
82,26,2016,118
83,26,2017,118
84,31,2006,102
85,31,2007,102
86,31,2008,102
87,31,2009,103
88,31,2010,103
89,31,2011,103
90,31,2012,104
91,31,2013,104
92,31,2014,105
93,31,2015,105
94,31,2016,106
95,31,2017,106
96,32,2006,112
97,32,2007,112
98,32,2008,112
99,32,2009,113
100,32,2010,113
101,32,2011,114
102,32,2012,114
103,32,2013,115
104,32,2014,116
105,32,2015,117
106,32,2016,118
107,32,2017,118
108,33,2006,109
109,33,2007,109
110,33,2008,109
111,33,2009,110
112,33,2010,110
113,33,2011,111
114,33,2012,111
115,33,2013,112
116,33,2014,113
117,33,2015,114
118,33,2016,114
119,33,2017,115
120,34,2006,113
121,34,2007,113
122,34,2008,114
123,34,2009,114
124,34,2010,114
125,34,2011,114
126,34,2012,113
127,34,2013,114
128,34,2014,114
129,34,2015,115
130,34,2016,116
131,34,2017,116
132,35,2006,111
133,35,2007,111
134,35,2008,111
135,35,2009,111
136,35,2010,111
137,35,2011,111
138,35,2012,111
139,35,2013,111
140,35,2014,111
141,35,2015,111
142,35,2016,111
143,35,2017,111
144,36,2006,117
145,36,2007,117
146,36,2008,117
147,36,2009,117
148,36,2010,117
149,36,2011,116
150,36,2012,116
151,36,2013,115
152,36,2014,115
153,36,2015,115
154,36,2016,115
155,36,2017,115
156,37,2006,111
157,37,2007,112
158,37,2008,112
159,37,2009,113
160,37,2010,114
161,37,2011,115
162,37,2012,115
163,37,2013,116
164,37,2014,116
165,37,2015,117
166,37,2016,117
167,37,2017,118
168,38,2006,107
169,38,2007,107
170,38,2008,109
171,38,2009,110
172,38,2010,110
173,38,2011,111
174,38,2012,111
175,38,2013,112
176,38,2014,113
177,38,2015,114
178,38,2016,115
179,38,2017,115
180,39,2006,106
181,39,2007,106
182,39,2008,106
183,39,2009,106
184,39,2010,107
185,39,2011,107
186,39,2012,107
187,39,2013,108
188,39,2014,108
189,39,2015,107
190,39,2016,107
191,39,2017,107
